
> nodebb@4.8.0 lint:jshint
> jshint .

install/databases.js: line 3, col 7, Redefinition of 'prompt'.
src/routes/write/chats.js: line 44, col 171, Line is too long.
src/routes/write/chats.js: line 45, col 172, Line is too long.
src/routes/write/chats.js: line 47, col 146, Line is too long.
src/routes/write/chats.js: line 48, col 151, Line is too long.
src/routes/write/chats.js: line 50, col 170, Line is too long.
src/routes/write/chats.js: line 51, col 175, Line is too long.

src/routes/write/flags.js: line 23, col 142, Line is too long.

src/routes/write/groups.js: line 34, col 141, Line is too long.

src/routes/write/posts.js: line 15, col 151, Line is too long.
src/routes/write/posts.js: line 25, col 141, Line is too long.
src/routes/write/posts.js: line 27, col 143, Line is too long.
src/routes/write/posts.js: line 47, col 154, Line is too long.
src/routes/write/posts.js: line 49, col 184, Line is too long.
src/routes/write/posts.js: line 50, col 164, Line is too long.

src/routes/write/search.js: line 18, col 203, Line is too long.
src/routes/write/search.js: line 19, col 209, Line is too long.

src/routes/write/topics.js: line 15, col 152, Line is too long.
src/routes/write/topics.js: line 30, col 167, Line is too long.
src/routes/write/topics.js: line 32, col 174, Line is too long.
src/routes/write/topics.js: line 33, col 173, Line is too long.
src/routes/write/topics.js: line 45, col 155, Line is too long.
src/routes/write/topics.js: line 46, col 169, Line is too long.

src/routes/write/users.js: line 19, col 142, Line is too long.
src/routes/write/users.js: line 34, col 160, Line is too long.
src/routes/write/users.js: line 36, col 187, Line is too long.
src/routes/write/users.js: line 50, col 141, Line is too long.
src/routes/write/users.js: line 58, col 145, Line is too long.
src/routes/write/users.js: line 60, col 178, Line is too long.
src/routes/write/users.js: line 61, col 175, Line is too long.
src/routes/write/users.js: line 62, col 182, Line is too long.
src/routes/write/users.js: line 11, col 10, 'guestRoutes' is defined but never used.

src/routes/write/utilities.js: line 13, col 144, Line is too long.

src/settings.js: line 138, col 27, Expected '!==' and instead saw '!='.
src/settings.js: line 147, col 35, Expected '!==' and instead saw '!='.
src/settings.js: line 194, col 15, Expected '===' and instead saw '=='.

src/socket.io/admin/email.js: line 42, col 156, Line is too long.

src/socket.io/categories.js: line 145, col 31, Confusing use of '!'.

src/socket.io/modules.js: line 115, col 9, Confusing use of '!'.

src/start.js: line 56, col 143, Line is too long.

src/topics/delete.js: line 151, col 149, Line is too long.

src/topics/events.js: line 58, col 186, Line is too long.
src/topics/events.js: line 62, col 152, Line is too long.
src/topics/events.js: line 66, col 184, Line is too long.
src/topics/events.js: line 70, col 189, Line is too long.
src/topics/events.js: line 74, col 185, Line is too long.

src/topics/follow.js: line 38, col 13, Confusing use of '!'.

src/topics/index.js: line 100, col 154, Line is too long.
src/topics/index.js: line 102, col 147, Line is too long.

src/topics/posts.js: line 98, col 155, Line is too long.

